utilization_type,state,ndc,labeler_code,product_code,package_size,year,quarter,suppression_used,product_name,units_reimbursed,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed
FFSU,AK,00002143380,00002,1433,80,2022,4,false,"TRULICITY ",481.000,201.000000000,205175.49,198526.95,6648.54
FFSU,AK,00002143401,00002,1434,01,2022,4,true,"TRULICITY ",,,,,
FFSU,AK,00002143480,00002,1434,80,2022,4,false,"TRULICITY ",650.000,232.000000000,277356.35,269046.67,8309.68
FFSU,AK,00002143611,00002,1436,11,2022,4,false,"EMGALITY P",26.000,25.000000000,16642.78,16642.78,0.00
FFSU,AK,00002144511,00002,1445,11,2022,4,false,"TALTZ AUTO",26.000,23.000000000,164678.63,164678.63,0.00
FFSU,AK,00002144527,00002,1445,27,2022,4,true,"TALTZ AUTO",,,,,
FFSU,AK,00002145780,00002,1457,80,2022,4,true,"MOUNJARO  ",,,,,
FFSU,AK,00002146080,00002,1460,80,2022,4,true,"MOUNJARO  ",,,,,
FFSU,AK,00002147180,00002,1471,80,2022,4,false,"MOUNJARO  ",26.000,12.000000000,12214.55,10397.54,1817.01
FFSU,AK,00002148480,00002,1484,80,2022,4,true,"MOUNJARO  ",,,,,
FFSU,AK,00002149580,00002,1495,80,2022,4,false,"MOUNJARO  ",82.000,38.000000000,37886.01,34569.18,3316.83
FFSU,AK,00002150680,00002,1506,80,2022,4,false,"MOUNJARO  ",34.000,17.000000000,15728.86,14800.58,928.28
FFSU,AK,00002223680,00002,2236,80,2022,4,false,"TRULICITY ",323.000,143.000000000,136672.59,135904.68,767.91
FFSU,AK,00002237711,00002,2377,11,2022,4,true,"EMGALITY S",,,,,
FFSU,AK,00002311509,00002,3115,09,2022,4,true,"EMGALITY S",,,,,
FFSU,AK,00002318280,00002,3182,80,2022,4,false,"TRULICITY ",138.000,50.000000000,59294.16,57583.50,1710.66
FFSU,AK,00002322830,00002,3228,30,2022,4,true,"STRATTERA ",,,,,
FFSU,AK,00002322930,00002,3229,30,2022,4,true,"STRATTERA ",,,,,
FFSU,AK,00002324030,00002,3240,30,2022,4,true,"CYMBALTA  ",,,,,
FFSU,AK,00002327030,00002,3270,30,2022,4,true,"CYMBALTA  ",,,,,
FFSU,AK,00002418230,00002,4182,30,2022,4,true,"OLUMIANT  ",,,,,
FFSU,AK,00002445685,00002,4456,85,2022,4,true,"ZYPREXA ZY",,,,,
FFSU,AK,00002449108,00002,4491,08,2022,4,true,"REYVOW    ",,,,,
FFSU,AK,00002481554,00002,4815,54,2022,4,true,"VERZENIO  ",,,,,
FFSU,AK,00002533754,00002,5337,54,2022,4,false,"VERZENIO  ",728.000,13.000000000,178648.58,178648.58,0.00
FFSU,AK,00002614511,00002,6145,11,2022,4,false,"BAQSIMI   ",43.000,25.000000000,11563.08,11563.08,0.00
FFSU,AK,00002614527,00002,6145,27,2022,4,false,"BAQSIMI   ",88.000,37.000000000,23393.33,22900.71,492.62
FFSU,AK,00002751001,00002,7510,01,2022,4,false,"HUMALOG   ",1900.000,60.000000000,51487.52,48905.38,2582.14
FFSU,AK,00002751017,00002,7510,17,2022,4,true,"HUMALOG   ",,,,,
FFSU,AK,00002751659,00002,7516,59,2022,4,false,"HUMALOG   ",288.000,16.000000000,9493.69,9493.69,0.00
FFSU,AK,00002752901,00002,7529,01,2022,4,true,"GLUCAGON E",,,,,
FFSU,AK,00002759701,00002,7597,01,2022,4,true,"ZYPREXA   ",,,,,
FFSU,AK,00002762301,00002,7623,01,2022,4,true,"ALIMTA    ",,,,,
FFSU,AK,00002764001,00002,7640,01,2022,4,false,"ALIMTA    ",47.800,12.000000000,34452.84,12594.75,21858.09
FFSU,AK,00002766901,00002,7669,01,2022,4,true,"CYRAMZA   ",,,,,
FFSU,AK,00002767801,00002,7678,01,2022,4,true,"CYRAMZA   ",,,,,
